"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 22 22:08:06 UTC 2024","Sun Dec 22 22:08:07 UTC 2024","438","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[cancelled_order]",""
"passed","Sun Dec 22 22:08:02 UTC 2024","Sun Dec 22 22:08:02 UTC 2024","197","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[pending_order]",""
"skipped","Sun Dec 22 22:07:55 UTC 2024","Sun Dec 22 22:07:55 UTC 2024","0","tests.orders","test_create_order","","","","test_create_order__bad_stock__error_response",""
"passed","Sun Dec 22 22:07:54 UTC 2024","Sun Dec 22 22:07:55 UTC 2024","637","tests.orders","test_create_order","","","","test_create_order__bad_type_quantity__error_response",""
"passed","Sun Dec 22 22:07:44 UTC 2024","Sun Dec 22 22:07:45 UTC 2024","1295","tests.orders","test_create_order","","","","test_create_order__second_order__order_created",""
"passed","Sun Dec 22 22:07:57 UTC 2024","Sun Dec 22 22:07:58 UTC 2024","831","tests.orders","test_get_all_orders","","","","test_get_all_orders__mixed_orders__orders_in_response",""
"passed","Sun Dec 22 22:07:32 UTC 2024","Sun Dec 22 22:07:32 UTC 2024","243","tests.monitoring","test_ping","","","","test_ping__always__pong_response",""
"passed","Sun Dec 22 22:07:39 UTC 2024","Sun Dec 22 22:07:41 UTC 2024","1848","tests.orders","test_cancel_order","","","","test_cancel_order__not_pending_order__error_response[cancelled_order]",""
"passed","Sun Dec 22 22:08:07 UTC 2024","Sun Dec 22 22:08:07 UTC 2024","191","tests.orders","test_get_order","","","","test_get_order__bad_order_id__error_response",""
"passed","Sun Dec 22 22:07:42 UTC 2024","Sun Dec 22 22:07:43 UTC 2024","1261","tests.orders","test_create_order","","","","test_create_order__valid_data__order_created",""
"passed","Sun Dec 22 22:08:07 UTC 2024","Sun Dec 22 22:08:07 UTC 2024","114","tests.orders","test_get_order","","","","test_get_order__not_existing_order__error_response",""
"passed","Sun Dec 22 22:07:51 UTC 2024","Sun Dec 22 22:07:52 UTC 2024","985","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[cancelled_order]",""
"passed","Sun Dec 22 22:07:49 UTC 2024","Sun Dec 22 22:07:50 UTC 2024","1403","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[executed_order]",""
"passed","Sun Dec 22 22:07:42 UTC 2024","Sun Dec 22 22:07:42 UTC 2024","193","tests.orders","test_cancel_order","","","","test_cancel_order__bad_order_id__error_response",""
"passed","Sun Dec 22 22:07:46 UTC 2024","Sun Dec 22 22:07:47 UTC 2024","654","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[pending_order]",""
"passed","Sun Dec 22 22:07:42 UTC 2024","Sun Dec 22 22:07:42 UTC 2024","148","tests.orders","test_cancel_order","","","","test_cancel_order__not_existent_order__error_response",""
"passed","Sun Dec 22 22:07:52 UTC 2024","Sun Dec 22 22:07:53 UTC 2024","888","tests.orders","test_create_order","","","","test_create_order__bad_quantity__error_response[zero_value]",""
"passed","Sun Dec 22 22:08:05 UTC 2024","Sun Dec 22 22:08:06 UTC 2024","723","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[executed_order]",""
"passed","Sun Dec 22 22:07:33 UTC 2024","Sun Dec 22 22:07:34 UTC 2024","787","tests.orders","test_cancel_order","","","","test_cancel_order__pending_order__order_cancelled",""
"passed","Sun Dec 22 22:08:01 UTC 2024","Sun Dec 22 22:08:01 UTC 2024","395","tests.orders","test_get_all_orders","","","","test_get_all_orders__executed_orders__orders_in_response",""
"passed","Sun Dec 22 22:07:36 UTC 2024","Sun Dec 22 22:07:37 UTC 2024","1021","tests.orders","test_cancel_order","","","","test_cancel_order__not_pending_order__error_response[executed_order]",""
"passed","Sun Dec 22 22:07:53 UTC 2024","Sun Dec 22 22:07:54 UTC 2024","686","tests.orders","test_create_order","","","","test_create_order__bad_quantity__error_response[negative_value]",""
"passed","Sun Dec 22 22:07:55 UTC 2024","Sun Dec 22 22:07:55 UTC 2024","728","tests.orders","test_get_all_orders","","","","test_get_all_orders__no_orders__empty_response",""
