"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 23 12:32:43 UTC 2024","Mon Dec 23 12:32:44 UTC 2024","855","tests.orders","test_create_order","","","","test_create_order__bad_quantity__error_response[zero_value]",""
"passed","Mon Dec 23 12:32:56 UTC 2024","Mon Dec 23 12:32:56 UTC 2024","229","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[cancelled_order]",""
"passed","Mon Dec 23 12:32:41 UTC 2024","Mon Dec 23 12:32:43 UTC 2024","1760","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[cancelled_order]",""
"passed","Mon Dec 23 12:32:44 UTC 2024","Mon Dec 23 12:32:45 UTC 2024","231","tests.orders","test_create_order","","","","test_create_order__bad_type_quantity__error_response",""
"passed","Mon Dec 23 12:32:39 UTC 2024","Mon Dec 23 12:32:40 UTC 2024","1229","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[executed_order]",""
"passed","Mon Dec 23 12:32:57 UTC 2024","Mon Dec 23 12:32:58 UTC 2024","837","tests.orders","test_get_order","","","","test_get_order__bad_order_id__error_response",""
"passed","Mon Dec 23 12:32:36 UTC 2024","Mon Dec 23 12:32:36 UTC 2024","785","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[pending_order]",""
"passed","Mon Dec 23 12:32:27 UTC 2024","Mon Dec 23 12:32:28 UTC 2024","656","tests.orders","test_cancel_order","","","","test_cancel_order__not_pending_order__error_response[executed_order]",""
"passed","Mon Dec 23 12:32:32 UTC 2024","Mon Dec 23 12:32:33 UTC 2024","339","tests.orders","test_cancel_order","","","","test_cancel_order__bad_order_id__error_response",""
"passed","Mon Dec 23 12:32:34 UTC 2024","Mon Dec 23 12:32:35 UTC 2024","717","tests.orders","test_create_order","","","","test_create_order__second_order__order_created",""
"passed","Mon Dec 23 12:32:29 UTC 2024","Mon Dec 23 12:32:31 UTC 2024","1454","tests.orders","test_cancel_order","","","","test_cancel_order__not_pending_order__error_response[cancelled_order]",""
"passed","Mon Dec 23 12:32:51 UTC 2024","Mon Dec 23 12:32:51 UTC 2024","437","tests.orders","test_get_all_orders","","","","test_get_all_orders__executed_orders__orders_in_response",""
"passed","Mon Dec 23 12:32:56 UTC 2024","Mon Dec 23 12:32:57 UTC 2024","451","tests.orders","test_get_order","","","","test_get_order__not_existing_order__error_response",""
"passed","Mon Dec 23 12:32:33 UTC 2024","Mon Dec 23 12:32:34 UTC 2024","1069","tests.orders","test_create_order","","","","test_create_order__valid_data__order_created",""
"passed","Mon Dec 23 12:32:32 UTC 2024","Mon Dec 23 12:32:32 UTC 2024","388","tests.orders","test_cancel_order","","","","test_cancel_order__not_existent_order__error_response",""
"skipped","Mon Dec 23 12:32:45 UTC 2024","Mon Dec 23 12:32:45 UTC 2024","0","tests.orders","test_create_order","","","","test_create_order__bad_stock__error_response",""
"passed","Mon Dec 23 12:32:47 UTC 2024","Mon Dec 23 12:32:47 UTC 2024","583","tests.orders","test_get_all_orders","","","","test_get_all_orders__mixed_orders__orders_in_response",""
"passed","Mon Dec 23 12:32:45 UTC 2024","Mon Dec 23 12:32:46 UTC 2024","986","tests.orders","test_get_all_orders","","","","test_get_all_orders__no_orders__empty_response",""
"passed","Mon Dec 23 12:32:44 UTC 2024","Mon Dec 23 12:32:44 UTC 2024","360","tests.orders","test_create_order","","","","test_create_order__bad_quantity__error_response[negative_value]",""
"passed","Mon Dec 23 12:32:51 UTC 2024","Mon Dec 23 12:32:52 UTC 2024","195","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[pending_order]",""
"passed","Mon Dec 23 12:32:22 UTC 2024","Mon Dec 23 12:32:22 UTC 2024","516","tests.monitoring","test_ping","","","","test_ping__always__pong_response",""
"passed","Mon Dec 23 12:32:23 UTC 2024","Mon Dec 23 12:32:25 UTC 2024","1902","tests.orders","test_cancel_order","","","","test_cancel_order__pending_order__order_cancelled",""
"passed","Mon Dec 23 12:32:54 UTC 2024","Mon Dec 23 12:32:55 UTC 2024","482","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[executed_order]",""
