"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 23 09:09:54 UTC 2024","Mon Dec 23 09:09:55 UTC 2024","809","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[pending_order]",""
"passed","Mon Dec 23 09:09:42 UTC 2024","Mon Dec 23 09:09:43 UTC 2024","350","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[executed_order]",""
"passed","Mon Dec 23 09:09:44 UTC 2024","Mon Dec 23 09:09:45 UTC 2024","1341","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[cancelled_order]",""
"passed","Mon Dec 23 09:09:45 UTC 2024","Mon Dec 23 09:09:46 UTC 2024","561","tests.orders","test_create_order","","","","test_create_order__bad_quantity__error_response[zero_value]",""
"passed","Mon Dec 23 09:09:39 UTC 2024","Mon Dec 23 09:09:40 UTC 2024","775","tests.orders","test_create_order","","","","test_create_order__same_data__order_created[pending_order]",""
"skipped","Mon Dec 23 09:09:47 UTC 2024","Mon Dec 23 09:09:47 UTC 2024","0","tests.orders","test_create_order","","","","test_create_order__bad_stock__error_response",""
"passed","Mon Dec 23 09:09:33 UTC 2024","Mon Dec 23 09:09:34 UTC 2024","1480","tests.orders","test_cancel_order","","","","test_cancel_order__not_pending_order__error_response[cancelled_order]",""
"passed","Mon Dec 23 09:09:47 UTC 2024","Mon Dec 23 09:09:48 UTC 2024","881","tests.orders","test_get_all_orders","","","","test_get_all_orders__no_orders__empty_response",""
"passed","Mon Dec 23 09:09:53 UTC 2024","Mon Dec 23 09:09:54 UTC 2024","989","tests.orders","test_get_all_orders","","","","test_get_all_orders__executed_orders__orders_in_response",""
"passed","Mon Dec 23 09:09:49 UTC 2024","Mon Dec 23 09:09:49 UTC 2024","201","tests.orders","test_get_all_orders","","","","test_get_all_orders__mixed_orders__orders_in_response",""
"passed","Mon Dec 23 09:09:27 UTC 2024","Mon Dec 23 09:09:29 UTC 2024","1982","tests.orders","test_cancel_order","","","","test_cancel_order__pending_order__order_cancelled",""
"passed","Mon Dec 23 09:09:46 UTC 2024","Mon Dec 23 09:09:47 UTC 2024","752","tests.orders","test_create_order","","","","test_create_order__bad_quantity__error_response[negative_value]",""
"passed","Mon Dec 23 09:09:35 UTC 2024","Mon Dec 23 09:09:36 UTC 2024","955","tests.orders","test_cancel_order","","","","test_cancel_order__not_existent_order__error_response",""
"passed","Mon Dec 23 09:09:59 UTC 2024","Mon Dec 23 09:09:59 UTC 2024","730","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[cancelled_order]",""
"passed","Mon Dec 23 09:09:58 UTC 2024","Mon Dec 23 09:09:58 UTC 2024","384","tests.orders","test_get_order","","","","test_get_order__order_in_db__order_in_response[executed_order]",""
"passed","Mon Dec 23 09:09:38 UTC 2024","Mon Dec 23 09:09:39 UTC 2024","728","tests.orders","test_create_order","","","","test_create_order__second_order__order_created",""
"passed","Mon Dec 23 09:09:47 UTC 2024","Mon Dec 23 09:09:47 UTC 2024","233","tests.orders","test_create_order","","","","test_create_order__bad_type_quantity__error_response",""
"passed","Mon Dec 23 09:10:00 UTC 2024","Mon Dec 23 09:10:00 UTC 2024","964","tests.orders","test_get_order","","","","test_get_order__not_existing_order__error_response",""
"passed","Mon Dec 23 09:09:37 UTC 2024","Mon Dec 23 09:09:37 UTC 2024","480","tests.orders","test_create_order","","","","test_create_order__valid_data__order_created",""
"passed","Mon Dec 23 09:09:31 UTC 2024","Mon Dec 23 09:09:32 UTC 2024","523","tests.orders","test_cancel_order","","","","test_cancel_order__not_pending_order__error_response[executed_order]",""
"passed","Mon Dec 23 09:09:25 UTC 2024","Mon Dec 23 09:09:26 UTC 2024","668","tests.monitoring","test_ping","","","","test_ping__always__pong_response",""
"passed","Mon Dec 23 09:09:36 UTC 2024","Mon Dec 23 09:09:37 UTC 2024","583","tests.orders","test_cancel_order","","","","test_cancel_order__bad_order_id__error_response",""
"passed","Mon Dec 23 09:10:01 UTC 2024","Mon Dec 23 09:10:01 UTC 2024","510","tests.orders","test_get_order","","","","test_get_order__bad_order_id__error_response",""
